date,symbol,closing_price_egp,volume,extracted_at
2026-04-02,AJWA.CA,113.01,23137,2026-04-05T15:49:03.321592
2026-04-02,APSW.CA,8.1,129863,2026-04-05T15:49:03.379060
2026-04-02,ASCM.CA,40.91,101800,2026-04-05T15:49:03.437822
2026-04-02,ABUK.CA,82.0,2360566,2026-04-05T15:49:03.523181
2026-04-02,ADIB.CA,38.9,666568,2026-04-05T15:49:03.574226
2026-04-02,SAUD.CA,20.95,1272447,2026-04-05T15:49:04.359259
2026-04-02,ATLC.CA,4.72,3145257,2026-04-05T15:49:04.842735
2026-04-02,ALCN.CA,34.0,2843196,2026-04-05T15:49:04.922961
2026-04-02,AFMC.CA,57.94,48866,2026-04-05T15:49:05.003291
2026-04-02,AMOC.CA,8.49,15032851,2026-04-05T15:49:05.071374
2026-04-02,ANFI.CA,94.24,31772,2026-04-05T15:49:05.124628
2026-04-02,AMES.CA,46.48,225842,2026-04-05T15:49:05.211671
2026-04-02,AXPH.CA,811.05,2789,2026-04-05T15:49:05.292915
2026-04-02,SPIN.CA,14.58,174835,2026-04-05T15:49:05.378002
2026-04-02,AMER.CA,1.86,9736229,2026-04-05T15:49:05.440644
2026-04-02,ALUM.CA,20.91,410864,2026-04-05T15:49:05.510166
2026-04-02,ACAMD.CA,1.78,75205136,2026-04-05T15:49:05.570744
2026-04-02,ACGC.CA,7.7,117994,2026-04-05T15:49:05.659255
2026-04-02,ARAB.CA,0.19,1032128230,2026-04-05T15:49:05.712581
2026-04-02,AMIA.CA,5.52,1554836,2026-04-05T15:49:05.787016
2026-04-02,ADCI.CA,158.33,105172,2026-04-05T15:49:05.862581
2026-04-02,RREI.CA,2.67,1866381,2026-04-05T15:49:05.914621
2026-04-02,ARVA.CA,7.37,527380,2026-04-05T15:49:05.979755
2026-04-02,AIH.CA,0.31,6407344,2026-04-05T15:49:06.032620
2026-04-02,ARCC.CA,52.8,1109720,2026-04-05T15:49:06.093385
2026-04-02,DOMT.CA,24.12,42043,2026-04-05T15:49:06.154120
2026-04-02,ASPI.CA,0.28,7350783,2026-04-05T15:49:06.213558
2026-04-02,AIFI.CA,1.65,1409182,2026-04-05T15:49:06.264685
2026-04-02,BINV.CA,38.97,250603,2026-04-05T15:49:06.324735
2026-04-02,BTFH.CA,2.83,31863615,2026-04-05T15:49:06.378151
2026-04-02,CICH.CA,10.49,91315,2026-04-05T15:49:06.860826
2026-04-02,CAED.CA,53.82,5174,2026-04-05T15:49:06.943227
2026-04-02,CIRA.CA,17.54,95636,2026-04-05T15:49:07.012175
2026-04-02,COSG.CA,1.31,3489746,2026-04-05T15:49:07.066695
2026-04-02,CPCI.CA,275.36,96554,2026-04-05T15:49:07.152496
2026-04-02,POUL.CA,31.83,415461,2026-04-05T15:49:07.232770
2026-04-02,CSAG.CA,28.14,793059,2026-04-05T15:49:07.314646
2026-04-02,PRCL.CA,15.2,466284,2026-04-05T15:49:07.372498
2026-04-02,CLHO.CA,12.08,437026,2026-04-05T15:49:07.425642
2026-04-02,COMI.CA,124.0,2439362,2026-04-05T15:49:07.511073
2026-04-02,CFGH.CA,0.11,33851,2026-04-05T15:49:07.574790
2026-04-02,CNFN.CA,4.12,2527309,2026-04-05T15:49:07.630593
2026-04-02,COPR.CA,0.31,8734596,2026-04-05T15:49:07.690972
2026-04-02,CIEB.CA,25.18,3266032,2026-04-05T15:49:07.764675
2026-04-02,DTPP.CA,106.04,62143,2026-04-05T15:49:08.238643
2026-04-02,DEIN.CA,11.38,0,2026-04-05T15:49:08.317721
2026-04-02,SUGR.CA,47.0,124627,2026-04-05T15:49:08.395595
2026-04-02,DSCW.CA,1.75,8443390,2026-04-05T15:49:08.864197
2026-04-02,EFIH.CA,18.2,4152143,2026-04-05T15:49:09.341056
2026-04-02,HRHO.CA,25.6,4280573,2026-04-05T15:49:09.405397
2026-04-02,EAST.CA,35.5,695717,2026-04-05T15:49:09.492102
2026-04-02,EFID.CA,25.05,4220127,2026-04-05T15:49:09.553924
2026-04-02,EGAL.CA,301.5,609636,2026-04-05T15:49:09.643010
2026-04-02,EPCO.CA,8.43,1006098,2026-04-05T15:49:09.700449
2026-04-02,EASB.CA,3.19,549910,2026-04-05T15:49:09.775963
2026-04-02,EGCH.CA,11.23,1567284,2026-04-05T15:49:09.837345
2026-04-02,EFIC.CA,203.0,292043,2026-04-05T15:49:09.913188
2026-04-02,EGBE.CA,0.37,517125,2026-04-05T15:49:09.997028
2026-04-02,MAAL.CA,4.36,1445675,2026-04-05T15:49:10.053247
2026-04-02,PHAR.CA,79.0,164612,2026-04-05T15:49:10.142759
2026-04-02,IRON.CA,29.63,376212,2026-04-05T15:49:10.199903
2026-04-02,MPRC.CA,27.93,334436,2026-04-05T15:49:10.268301
2026-04-02,AREH.CA,1.13,5619689,2026-04-05T15:49:10.322229
2026-04-02,EGSA.CA,7.81,197,2026-04-05T15:49:10.393206
2026-04-02,ETRS.CA,7.5,2219333,2026-04-05T15:49:10.467997
2026-04-02,EHDR.CA,2.1,2925327,2026-04-05T15:49:10.520408
2026-04-02,AFDI.CA,33.53,99489,2026-04-05T15:49:10.574121
2026-04-02,EPPK.CA,12.32,56957,2026-04-05T15:49:10.639481
2026-04-02,EEII.CA,1.89,1738045,2026-04-05T15:49:10.708893
2026-04-02,EALR.CA,332.53,9699,2026-04-05T15:49:10.770917
2026-04-02,ECAP.CA,26.59,296846,2026-04-05T15:49:10.846798
2026-04-02,KWIN.CA,54.37,27349,2026-04-05T15:49:10.908918
2026-04-02,ELKA.CA,1.04,13525712,2026-04-05T15:49:10.982332
2026-04-02,KABO.CA,5.89,201859,2026-04-05T15:49:11.044956
