date,currency_pair,exchange_rate,extracted_at
2021-04-06,USD/EGP,15.6,2026-04-06T21:21:23.987998
2021-04-07,USD/EGP,15.68,2026-04-06T21:21:23.988061
2021-04-08,USD/EGP,15.67,2026-04-06T21:21:23.988108
2021-04-09,USD/EGP,15.68,2026-04-06T21:21:23.988149
2021-04-12,USD/EGP,15.68,2026-04-06T21:21:23.988188
2021-04-13,USD/EGP,15.66,2026-04-06T21:21:23.988225
2021-04-14,USD/EGP,15.67,2026-04-06T21:21:23.988260
2021-04-15,USD/EGP,15.64,2026-04-06T21:21:23.988294
2021-04-16,USD/EGP,15.66,2026-04-06T21:21:23.988328
2021-04-19,USD/EGP,15.67,2026-04-06T21:21:23.988363
2021-04-20,USD/EGP,15.66,2026-04-06T21:21:23.988396
2021-04-21,USD/EGP,15.68,2026-04-06T21:21:23.988430
2021-04-22,USD/EGP,15.65,2026-04-06T21:21:23.988464
2021-04-23,USD/EGP,15.67,2026-04-06T21:21:23.988498
2021-04-26,USD/EGP,15.69,2026-04-06T21:21:23.988532
2021-04-27,USD/EGP,15.66,2026-04-06T21:21:23.988566
2021-04-28,USD/EGP,15.64,2026-04-06T21:21:23.988599
2021-04-29,USD/EGP,15.63,2026-04-06T21:21:23.988633
2021-04-30,USD/EGP,15.64,2026-04-06T21:21:23.988665
2021-05-03,USD/EGP,15.63,2026-04-06T21:21:23.988699
2021-05-04,USD/EGP,15.64,2026-04-06T21:21:23.988733
2021-05-05,USD/EGP,15.64,2026-04-06T21:21:23.988783
2021-05-06,USD/EGP,15.64,2026-04-06T21:21:23.988817
2021-05-07,USD/EGP,15.64,2026-04-06T21:21:23.988852
2021-05-10,USD/EGP,15.63,2026-04-06T21:21:23.988885
2021-05-11,USD/EGP,15.65,2026-04-06T21:21:23.988918
2021-05-12,USD/EGP,15.66,2026-04-06T21:21:23.988952
2021-05-13,USD/EGP,15.65,2026-04-06T21:21:23.988986
2021-05-14,USD/EGP,15.63,2026-04-06T21:21:23.989019
2021-05-17,USD/EGP,15.63,2026-04-06T21:21:23.989053
2021-05-18,USD/EGP,15.66,2026-04-06T21:21:23.989086
