date,gold_24k_egp,gold_21k_egp,gold_18k_egp,gold_14k_egp,gold_12k_egp,gold_10k_egp,gold_9k_egp,global_ounce_usd,extracted_at
2021-04-06,873.19,764.04,654.89,509.36,436.59,363.83,327.45,1741.5,2026-04-06T21:21:24.127384
2021-04-07,877.31,767.65,657.98,511.76,438.65,365.55,328.99,1740.1,2026-04-06T21:21:24.127466
2021-04-08,885.1,774.46,663.82,516.31,442.55,368.79,331.91,1756.8,2026-04-06T21:21:24.127527
2021-04-09,878.93,769.06,659.19,512.71,439.46,366.22,329.6,1743.3,2026-04-06T21:21:24.127583
2021-04-12,872.6,763.52,654.45,509.01,436.3,363.58,327.22,1731.2,2026-04-06T21:21:24.127639
2021-04-13,879.35,769.43,659.52,512.96,439.68,366.4,329.76,1746.2,2026-04-06T21:21:24.127694
2021-04-14,874.13,764.87,655.6,509.91,437.07,364.22,327.8,1734.9,2026-04-06T21:21:24.127762
2021-04-15,887.71,776.74,665.78,517.83,443.85,369.88,332.89,1765.4,2026-04-06T21:21:24.127819
2021-04-16,895.71,783.75,671.78,522.5,447.86,373.21,335.89,1779.0,2026-04-06T21:21:24.127873
2021-04-19,891.42,780.0,668.57,520.0,445.71,371.43,334.28,1769.4,2026-04-06T21:21:24.127927
2021-04-20,895.02,783.14,671.26,522.09,447.51,372.92,335.63,1777.3,2026-04-06T21:21:24.127980
2021-04-21,903.35,790.43,677.51,526.96,451.68,376.4,338.76,1792.3,2026-04-06T21:21:24.128034
2021-04-22,896.27,784.24,672.2,522.82,448.13,373.45,336.1,1781.2,2026-04-06T21:21:24.128089
2021-04-23,895.3,783.39,671.47,522.26,447.65,373.04,335.74,1777.0,2026-04-06T21:21:24.128142
2021-04-26,897.68,785.47,673.26,523.65,448.84,374.03,336.63,1779.2,2026-04-06T21:21:24.128195
2021-04-27,895.27,783.36,671.45,522.24,447.64,373.03,335.73,1778.0,2026-04-06T21:21:24.128248
2021-04-28,891.91,780.42,668.93,520.28,445.95,371.63,334.47,1773.2,2026-04-06T21:21:24.128302
2021-04-29,888.49,777.43,666.37,518.29,444.24,370.2,333.18,1768.1,2026-04-06T21:21:24.128355
2021-04-30,888.51,777.45,666.38,518.3,444.26,370.21,333.19,1767.3,2026-04-06T21:21:24.128408
2021-05-03,900.17,787.65,675.13,525.1,450.09,375.07,337.57,1791.4,2026-04-06T21:21:24.128461
2021-05-04,892.94,781.33,669.71,520.88,446.47,372.06,334.85,1775.8,2026-04-06T21:21:24.128515
2021-05-05,896.98,784.86,672.73,523.24,448.49,373.74,336.37,1784.1,2026-04-06T21:21:24.128570
2021-05-06,912.69,798.61,684.52,532.4,456.35,380.29,342.26,1815.5,2026-04-06T21:21:24.128622
2021-05-07,920.57,805.5,690.42,537.0,460.28,383.57,345.21,1831.1,2026-04-06T21:21:24.128675
2021-05-10,923.43,808.01,692.58,538.67,461.72,384.76,346.29,1837.5,2026-04-06T21:21:24.128728
2021-05-11,923.71,808.25,692.78,538.83,461.86,384.88,346.39,1835.9,2026-04-06T21:21:24.128792
2021-05-12,917.43,802.75,688.07,535.17,458.71,382.26,344.04,1822.6,2026-04-06T21:21:24.128847
2021-05-13,917.51,802.82,688.13,535.22,458.76,382.3,344.07,1823.8,2026-04-06T21:21:24.128899
2021-05-14,923.43,808.01,692.58,538.67,461.72,384.76,346.29,1837.9,2026-04-06T21:21:24.128952
2021-05-17,938.39,821.09,703.79,547.39,469.19,390.99,351.9,1867.5,2026-04-06T21:21:24.129006
2021-05-18,940.39,822.84,705.29,548.56,470.2,391.83,352.65,1867.8,2026-04-06T21:21:24.129059
2021-05-19,946.63,828.3,709.97,552.2,473.32,394.43,354.99,1881.3,2026-04-06T21:21:24.129112
2021-05-20,947.3,828.89,710.48,552.59,473.65,394.71,355.24,1881.8,2026-04-06T21:21:24.129167
2021-05-21,944.85,826.74,708.64,551.16,472.42,393.69,354.32,1876.7,2026-04-06T21:21:24.129222
2021-05-24,946.73,828.39,710.05,552.26,473.36,394.47,355.02,1884.6,2026-04-06T21:21:24.129275
2021-05-25,954.41,835.11,715.81,556.74,477.2,397.67,357.9,1898.1,2026-04-06T21:21:24.129328
2021-05-26,956.07,836.56,717.05,557.71,478.03,398.36,358.52,1901.3,2026-04-06T21:21:24.129381
2021-05-27,953.8,834.57,715.35,556.38,476.9,397.42,357.67,1895.7,2026-04-06T21:21:24.129434
